"","player_name","total_points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games_played","Efficiency_index","salary","position"
"256","Sam Dekker",0,1,0,1,0,0,0,0,3,0.303956664126635,1646400,"SF"
"257","K.J. McDaniels",89,42,10,7,6,-43,-6,17,37,0.633160144498222,3333333,"SF"
"258","Gordon Hayward",1578,397,296,95,27,-681,-84,202,80,3.5322994793385,15409570,"SF"
"259","Joe Ingles",342,151,96,55,4,-167,-5,65,81,1.56078984977248,2250000,"SF"
"260","Chris Johnson",205,132,45,32,20,-122,-8,40,70,1.22415020110862,981348,"SF"
"261","J.J. O'Brien",0,1,0,1,0,-1,0,0,2,0.381183922061675,105888,"SF"
"262","Caron Butler",63,22,10,9,1,-34,-2,3,17,0.780759515373708,1499187,"SF"
"263","Omri Casspi",813,410,95,56,17,-323,-56,94,69,2.38794477199004,3e+06,"SF"
"264","Duje Dukan",6,4,1,1,0,-8,0,0,1,1.0054723958277,525093,"SF"
"265","Rudy Gay",1204,456,120,100,51,-541,-56,139,70,3.62749328491365,12403101,"SF"
"266","Danilo Gallinari",1036,281,135,42,19,-413,-57,77,53,2.52768928935849,1.4e+07,"SF"
"267","Mike Miller",63,53,40,13,4,-40,0,17,47,0.88093071562002,1499187,"SF"
"268","Kostas Papanikolaou",67,40,16,13,5,-42,-5,21,26,1.15145476108731,350000,"SF"
"269","Axel Toupane",76,31,15,7,6,-45,-4,6,21,0.848123537717229,123552,"SF"
"270","Luke Babbitt",327,148,53,11,7,-167,-11,23,47,1.20306750686521,1100000,"SF"
"271","Dante Cunningham",484,236,77,42,33,-226,-25,41,80,1.51019136363956,3e+06,"SF"
"272","Alonzo Gee",325,245,72,63,13,-123,-22,55,73,1.85987192145909,1375000,"SF"
"273","Jordan Hamilton",125,62,25,8,3,-67,-7,17,11,2.56289173031686,119462,"SF"
"274","Shabazz Muhammad",863,267,52,24,7,-364,-57,70,82,0.942382642949884,2056920,"SF"
"275","Tayshaun Prince",221,147,73,36,13,-127,-6,27,77,1.17018793755642,1499187,"SF"
"276","Damjan Rudez",75,20,11,3,1,-37,0,13,33,0.486967847107053,1149500,"SF"
"277","Andrew Wiggins",1675,292,164,78,46,-700,-135,182,81,2.12713735032716,5758680,"SF"
"278","P.J. Tucker",652,512,177,106,20,-343,-36,111,82,3.1742436283395,5500000,"SF"
"279","T.J. Warren",515,147,44,37,16,-220,-19,32,47,1.71647814251006,2041080,"SF"
"280","Anthony Brown",115,70,19,14,5,-87,-3,15,29,1.12903595877746,7e+05,"SF"
"281","Kobe Bryant",1161,247,184,62,13,-715,-49,129,66,2.23879353678173,2.5e+07,"SF"
"282","Metta World Peace",176,89,27,22,11,-122,-17,15,35,1.0081967184839,1499187,"SF"
"283","Iman Shumpert",311,203,92,54,19,-191,-11,57,54,3.08686879512014,9e+06,"SG"
"284","J.R. Smith",955,217,130,81,21,-497,-26,59,77,2.42483035884846,5e+06,"SG"
"285","DeMar DeRozan",1830,349,315,81,21,-763,-98,175,78,3.55094328119623,9500000,"SG"
"286","Cory Joseph",677,210,250,63,20,-328,-41,102,80,2.69090284418581,7e+06,"SG"
"287","Norman Powell",273,111,47,29,10,-132,-10,32,49,1.79640615061937,650000,"SG"
"288","Gerald Green",616,163,56,38,19,-357,-20,46,69,1.60861236955169,1356000,"SG"
"289","Tyler Johnson",314,109,79,24,14,-125,-13,47,36,2.95582399525086,845059,"SG"
"290","Josh Richardson",341,107,73,36,25,-149,-21,35,52,2.18459172796045,525093,"SG"
"291","Dwyane Wade",1409,302,344,79,42,-643,-84,203,74,4.32488497945563,2e+07,"SG"
"292","Tim Hardaway",326,86,51,21,7,-151,-6,23,51,1.39034945285141,1304520,"SG"
"293","Kyle Korver",739,260,164,60,35,-348,-9,98,80,3.24310240243738,5746479,"SG"
"294","Lamar Patterson",84,50,39,9,2,-52,-6,23,35,1.11070437065893,525093,"SG"
"295","Avery Bradley",1155,220,158,117,19,-563,-27,109,76,3.28237904679651,7730337,"SG"
"296","R.J. Hunter",97,37,13,14,4,-62,-1,11,36,0.926889696476477,1148640,"SG"
"297","Evan Turner",854,397,359,80,28,-410,-31,169,81,4.57982727616931,3425510,"SG"
"298","James Young",29,26,9,6,1,-25,-3,5,29,0.48357619874656,1749840,"SG"
"299","Troy Daniels",242,57,21,11,3,-98,-4,24,43,1.05148665442862,947276,"SG"
"300","Aaron Harrison",18,15,2,6,0,-14,-7,4,21,0.168579793949378,525093,"SG"
"301","Jeremy Lamb",580,252,77,42,30,-280,-24,50,66,2.58180314074588,3034356,"SG"
"302","Courtney Lee",250,87,60,33,12,-122,-3,23,28,3.33967316927221,5675000,"SG"
"303","Jeremy Lin",914,253,235,58,42,-428,-54,150,78,3.37804308028746,2100000,"SG"
"304","Monta Ellis",1121,271,383,150,37,-585,-44,203,81,4.99313982418747,10300000,"SG"
"305","Kentavious Caldwell-Pope",1105,282,138,110,17,-557,-43,105,76,3.0564783017572,2891760,"SG"
"306","Darrun Hilliard",152,45,27,9,1,-79,-11,19,38,0.672715400530539,525093,"SG"
"307","Jodie Meeks",22,5,3,0,0,-13,0,1,3,0.757709349374054,6270000,"SG"
"308","Jimmy Butler",1399,358,321,110,43,-565,-80,132,67,5.02600885526524,15260000,"SG"
"309","Justin Holiday",176,63,45,19,15,-91,-5,26,27,2.75891750741608,947300,"SG"
"310","E'Twaun Moore",443,133,99,37,18,-202,-13,53,59,2.29316789812709,1015421,"SG"
"311","Alan Anderson",65,27,14,4,1,-38,-4,2,13,0.910976233289165,4e+06,"SG"
"312","Bradley Beal",958,188,162,54,11,-440,-41,112,55,3.09688797980961,5694674,"SG"
"313","Gary Neal",390,83,47,20,1,-174,-8,29,40,1.52169956650456,2100000,"SG"
"314","Marcus Thornton",118,35,19,13,1,-65,-5,11,14,1.84605626363312,251107,"SG"
"315","Devyn Marble",60,38,12,13,1,-50,-14,7,28,0.4147897845393,845059,"SG"
"316","Victor Oladipo",1153,345,282,116,54,-545,-42,153,72,5.29356152681213,5192520,"SG"
"317","Jerryd Bayless",541,141,163,47,11,-252,-20,73,52,2.97377888340923,3e+06,"SG"
"318","Jared Cunningham",16,9,1,2,0,-10,-1,3,4,1.14527127985656,57726,"SG"
"319","O.J. Mayo",321,105,118,48,8,-202,-9,72,41,3.22223816192129,8e+06,"SG"
"320","Khris Middleton",1434,302,331,131,19,-635,-35,180,79,4.66274851933577,1.5e+07,"SG"
"321","Rashad Vaughn",217,88,39,29,16,-185,-3,28,70,1.15871537618238,1733040,"SG"
"322","Arron Afflalo",909,266,144,25,10,-445,-21,82,71,2.32942830797343,8e+06,"SG"
"323","Jimmer Fredette",7,0,0,0,0,0,-1,1,2,-0.040431422184189,59731,"SG"
"324","Sasha Vujacic",296,149,84,34,5,-171,-7,44,61,1.82000824688476,1356146,"SG"
"325","Markel Brown",363,122,91,38,15,-195,-23,54,62,1.80220802153508,845059,"SG"
"326","Wayne Ellington",586,174,83,48,5,-343,-9,45,76,1.58639892441408,1500000,"SG"
"327","Sean Kilpatrick",318,50,26,10,2,-134,-6,27,23,1.78567209705532,320594,"SG"
"328","Isaiah Canaan",846,174,137,56,12,-462,-30,91,77,1.97819581096059,947276,"SG"
"329","Nik Stauskas",617,183,138,44,20,-335,-27,94,73,2.28177385509873,2869440,"SG"
"330","Hollis Thompson",758,272,99,36,24,-410,-27,76,77,2.21233921170823,947276,"SG"
"331","Leandro Barbosa",433,117,82,44,10,-199,-10,53,68,1.80477990048726,2500000,"SG"
"332","Ian Clark",236,68,64,17,13,-113,-6,43,66,1.28570334687814,947276,"SG"
"333","Brandon Rush",305,181,57,20,23,-149,-10,33,72,1.71644127385981,1270964,"SG"
"334","Klay Thompson",1771,306,166,60,49,-735,-28,138,80,3.79388943526507,15500000,"SG"
"335","Manu Ginobili",555,146,177,66,11,-238,-21,99,58,3.29175555056901,2814000,"SG"
"336","Danny Green",572,303,141,79,64,-350,-12,75,79,3.76990777136122,1e+07,"SG"
"337","Kevin Martin",99,29,12,9,2,-55,-2,13,16,1.55322531687323,317475,"SG"
"338","Jonathon Simmons",331,96,58,24,5,-120,-23,53,55,1.41434373824383,525093,"SG"
"339","Randy Foye",151,51,49,13,13,-97,-5,28,27,2.31598895281637,3270000,"SG"
"340","Anthony Morrow",380,62,24,22,5,-197,-10,17,68,0.635804622810163,3344000,"SG"
"341","Andre Roberson",337,251,47,53,42,-138,-21,35,70,2.71477316342461,1210800,"SG"
"342","Dion Waiters",762,202,154,81,15,-424,-45,120,78,2.42846157527732,5138430,"SG"
"343","Jamal Crawford",1120,145,183,52,12,-560,-26,113,79,2.1727032004308,5675000,"SG"
"344","J.J. Redick",1226,139,106,42,5,-458,-23,78,75,1.84834909179501,6867000,"SG"
"345","Austin Rivers",593,130,99,48,9,-290,-37,61,67,1.56524523666092,3100000,"SG"
"346","C.J. Wilcox",70,12,10,10,2,-40,-3,2,23,0.596840961003759,1159680,"SG"
"347","Pat Connaughton",36,32,10,2,0,-36,0,10,34,0.466207744978705,525093,"SG"
"348","Allen Crabbe",832,216,99,63,16,-367,-15,64,81,2.24981408592239,947276,"SG"
"349","Gerald Henderson",624,211,75,39,19,-297,-34,68,72,1.91287452204503,6e+06,"SG"
"350","C.J. McCollum",1666,259,341,97,23,-790,-39,196,80,4.14482232575023,2525160,"SG"
"351","Luis Montero",14,4,1,0,0,-14,-1,4,12,0.0999189922944428,525093,"SG"
"352","Wesley Matthews",977,238,151,78,17,-523,-20,78,78,2.61454206754737,16400000,"SG"
"353","Jordan Adams",7,2,3,3,0,-4,-2,2,2,1.30526318077767,1404600,"SG"
"354","Tony Allen",535,296,70,110,18,-254,-48,78,64,3.27007836439322,5168539,"SG"
"355","Vince Carter",395,146,56,38,16,-210,-14,35,60,1.84058161463437,4088091,"SG"
"356","Xavier Munford",80,31,22,13,3,-45,-7,15,14,2.06638416773192,89588,"SG"
"357","James Harden",2376,501,612,139,51,-907,-117,374,82,7.21729487779774,15756438,"SG"
"358","Jason Terry",422,79,103,47,9,-225,-6,49,72,1.60386498450917,1499187,"SG"
"359","Alec Burks",412,109,63,18,4,-197,-35,51,31,1.81295901717331,9213484,"SG"
"360","Rodney Hood",1149,267,213,73,16,-564,-28,125,79,3.0989277927428,1348440,"SG"
"361","Elijah Millsap",36,35,19,7,3,-28,-5,9,20,1.15790065371646,362878,"SG"
"362","James Anderson",179,86,41,21,14,-111,-7,42,51,1.63837840865484,1015421,"SG"
"363","Marco Belinelli",696,117,127,37,2,-390,-23,80,68,1.54745481767936,6333333,"SG"
"364","Ben McLemore",531,148,79,52,10,-260,-29,99,68,2.03033181008109,3156600,"SG"
"365","Will Barton",1178,476,203,71,39,-558,-52,139,82,3.92034269266563,3333333,"SG"
"366","Gary Harris",932,220,147,97,18,-406,-24,98,76,3.10286766560096,1587480,"SG"
"367","Bryce Dejean-Jones",79,48,15,10,2,-41,-10,11,14,1.67667199268087,281659,"SG"
"368","Tyreke Evans",379,129,164,32,8,-178,-19,73,25,5.45585975679501,11227000,"SG"
"369","Eric Gordon",686,99,121,43,14,-321,-14,73,45,3.04514567106561,15514031,"SG"
"370","Orlando Johnson",10,6,2,1,0,-13,-1,3,5,0.452760377506385,55722,"SG"
"371","Zach LaVine",1150,228,251,69,17,-526,-42,155,82,3.02803484210541,2148360,"SG"
"372","Devin Booker",1048,187,200,44,20,-500,-41,160,76,2.7218373624236,2127840,"SG"
"373","John Jenkins",109,35,26,5,1,-48,-3,16,22,1.27246074806696,981000,"SG"
"374","Brandon Knight",1018,202,263,61,20,-524,-27,177,52,5.0075873434564,1.2e+07,"SG"
"375","Jordan Clarkson",1225,313,192,88,7,-623,-40,135,79,3.03719369010305,845059,"SG"
"376","Lou Williams",1028,169,167,62,19,-410,-72,107,67,2.36136654878519,7e+06,"SG"
"377","Nick Young",392,97,34,23,7,-246,-13,30,54,1.05179768846376,5219169,"SG"
"378","Matthew Dellavedova",569,162,337,44,9,-304,-9,116,76,2.15532132308684,1147280,"PG"
"379","Kyrie Irving",1041,157,249,56,18,-485,-22,124,53,3.12095885969236,14746000,"PG"
"380","Jordan McRae",62,12,15,0,1,-29,-4,9,15,0.449584168037089,172972,"PG"
"381","Mo Williams",338,72,98,14,5,-170,-4,57,41,1.58305887388657,2100000,"PG"
"382","Kyle Lowry",1634,365,494,158,34,-686,-93,225,77,4.37079079304099,1.2e+07,"PG"
"383","Delon Wright",103,37,31,8,3,-44,-9,16,27,0.843035215841203,1509360,"PG"
"384","Goran Dragic",1018,277,419,71,17,-458,-45,185,72,3.31191821740754,14780000,"PG"
"385","Beno Udrih",158,63,90,11,0,-86,-2,42,36,1.36680153109043,2170465,"PG"
"386","Briante Weber",2,1,1,0,0,0,0,0,1,0.525353792191918,12355,"PG"
"387","Kirk Hinrich",5,12,14,2,1,-9,0,3,11,0.735752056243702,2870000,"PG"
"388","Dennis Schroder",879,204,349,70,9,-452,-38,183,80,2.43514195456298,1763400,"PG"
"389","Jeff Teague",1239,214,470,97,24,-554,-51,218,79,3.35710193157121,8e+06,"PG"
"390","Terry Rozier",72,63,37,6,1,-77,-2,19,39,0.67553420329642,1824360,"PG"
"391","Marcus Smart",558,255,185,91,18,-345,-37,80,61,2.71360357902393,3431040,"PG"
"392","Isaiah Thomas",1823,243,509,91,9,-791,-70,220,82,2.94727457602239,6912869,"PG"
"393","Jorge Gutierrez",22,7,17,3,0,-5,-1,6,12,0.710820457985554,301444,"PG"
"394","Kemba Walker",1689,357,421,126,39,-763,-67,171,81,3.71467759447785,1.2e+07,"PG"
"395","George Hill",894,298,259,83,17,-413,-36,101,74,2.71026708651829,8e+06,"PG"
"396","Ty Lawson",64,31,57,10,1,-39,-3,13,13,1.97522494777186,265058,"PG"
"397","Rodney Stuckey",517,156,142,43,8,-260,-27,76,58,1.79087794676005,6500000,"PG"
"398","Steve Blake",254,89,200,24,5,-147,-4,81,58,1.70602698882842,2170465,"PG"
"399","Spencer Dinwiddie",58,17,22,3,0,-35,-14,7,12,0.00341904570699356,845059,"PG"
